source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,angle_error_deg,esprit_hankel_cond,nfev
0.15,5,3,ESPRIT+VP,0.6333767443825451,0.5550554047692703,1.0334118325317405,3,1.716109549261187e-06,12.275189787351366,22
0.15,5,3,equispaced,0.6423264367816792,0.5366529976329697,1.0108711119532563,3,,,0
0.15,5,5,ESPRIT+VP,0.26690008089734374,0.23755894047957524,5.392527823380085,5,2.700850605497601e-05,12.684231666300631,37
0.15,5,5,equispaced,0.6345101951066077,0.5572909479027066,1.2867560017150936,5,,,0
0.15,5,7,ESPRIT+VP,0.09046699578245038,0.08076258920363429,348443827562.3836,7,15.628750815248491,14.629842865609676,198
0.15,5,7,equispaced,0.5931514821918671,0.5943896345419233,1.3617128043983222,7,,,0
0.15,5,9,ESPRIT+VP,0.007689725336730843,0.0035361395479057926,853646.0431577457,7,0.00279047732801738,134.9225569797118,40
0.15,5,9,equispaced,0.5821534527234075,0.4847857121941128,2.1056138346365523,9,,,0
0.15,5,11,ESPRIT+VP,0.0033043926109848137,0.001564402714973374,45006333082.03114,9,0.03723718959697483,5936.227586545953,30
0.15,5,11,equispaced,0.47045786836711906,0.29550869762529486,2.7329771677225074,11,,,0
0.15,6,1,ESPRIT+VP,0.7202718174565482,0.6028237708587328,1.0,1,3.1451716467431715e-08,1.0,4
0.15,6,1,equispaced,0.7202841782877802,0.6029747655550023,1.0,1,,,0
0.15,6,3,ESPRIT+VP,0.7077350329572055,0.6319628295265582,1.0210105930455966,3,3.6895517729123495e-06,61.6866298894871,48
0.15,6,3,equispaced,0.718851271048502,0.605086853796568,1.0108711119532554,3,,,0
0.15,6,5,ESPRIT+VP,0.1343672182194141,0.09035540609726901,212458272236.37076,5,13.689296674400925,116.8473915649177,94
0.15,6,5,equispaced,0.7076222305082343,0.633941232150731,1.2867560017150945,5,,,0
0.15,6,7,ESPRIT+VP,0.31829754227790397,0.30692931192328576,25356458202.962418,7,0.0011697099974265514,117.60228213696661,77
0.15,6,7,equispaced,0.6570734301462308,0.6667295351789464,1.3617128043983195,7,,,0
