source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,principal_angle_error_deg,half_aperture_deg
0.0,4,13,equispaced,0.36712499722954156,0.09095515220535352,2.27798318004037,13,,
0.0,4,17,ESPRIT-centered fan,0.001776197419385215,0.0007485793035935372,252015363252.96686,16,2.5444437451708134e-14,51.6596106381998
0.0,4,17,equispaced,0.11878784524095842,0.007140785815074054,4.035797584445705,17,,
0.0,4,21,ESPRIT-centered fan,0.0004790495217177955,0.0001873922012425061,786409678694.9124,17,2.5444437451708134e-14,52.24059193589997
0.0,4,21,equispaced,0.025213870982052227,0.000992833908466763,86.27377086437782,21,,
0.0,5,1,ESPRIT-centered fan,0.6885589390491341,0.5710845018092272,1.0,1,0.0,0.0
0.0,5,1,equispaced,0.6885589390498553,0.5710845018093366,1.0,1,,
0.0,5,3,ESPRIT-centered fan,0.3334162658484331,0.20426325562530015,3.225603610193417,3,0.0,16.765764958894092
0.0,5,3,equispaced,0.6873066647181392,0.5724727604740546,1.010871111953256,3,,
0.0,5,5,ESPRIT-centered fan,0.15216852581680498,0.09284621899315672,71.00397254522198,5,0.0,26.30074307663978
0.0,5,5,equispaced,0.6780639449509634,0.5965347431473832,1.2867560017150945,5,,
0.0,5,7,ESPRIT-centered fan,0.06952874233829992,0.0416441093408295,2516.4502867030924,7,0.0,33.46950876019463
0.0,5,7,equispaced,0.6313493137043489,0.6343736537657938,1.361712804398321,7,,
0.0,5,9,ESPRIT-centered fan,0.03207243121655252,0.01767482090916741,109169.91082918886,9,0.0,39.40837108702354
0.0,5,9,equispaced,0.6146531065229093,0.5179078630896391,2.1056138346365514,9,,
0.0,5,13,ESPRIT-centered fan,0.007201346194852561,0.003351224217336586,555318027.4819459,13,0.0,47.72152322942524
0.0,5,13,equispaced,0.3671249972296119,0.09095515220537366,2.27798318004037,13,,
0.0,5,17,ESPRIT-centered fan,0.0017761974193735786,0.0007485798588378437,252081920293.8806,16,0.0,51.65908013595521
0.0,5,17,equispaced,0.11878784524095695,0.0071407858150739625,4.0357975844456915,17,,
0.0,5,21,ESPRIT-centered fan,0.00047904954187470147,0.0001873933106768535,788471036747.0322,17,0.0,52.236104839980506
0.0,5,21,equispaced,0.025213870980613323,0.0009928339085033201,86.27377086438095,21,,
0.0,6,1,ESPRIT-centered fan,0.688558939049134,0.5710845018092279,1.0,1,5.088887490341627e-14,0.0
0.0,6,1,equispaced,0.6885589390496402,0.5710845018093045,1.0,1,,
0.0,6,3,ESPRIT-centered fan,0.3334162658484328,0.20426325527268452,3.2256031904669795,3,5.088887490341627e-14,16.765765456302244
0.0,6,3,equispaced,0.6873066647169712,0.5724727604738542,1.0108711119532559,3,,
0.0,6,5,ESPRIT-centered fan,0.15216852581680496,0.0928462187078674,71.00404297934429,5,5.088887490341627e-14,26.300740013870797
0.0,6,5,equispaced,0.8584445352207747,1.0161485358527362,1.2867560017150952,5,,
0.0,6,7,ESPRIT-centered fan,0.0695287423382997,0.04164410942888756,2516.45132632483,7,5.088887490341627e-14,33.46950767811606
0.0,6,7,equispaced,0.6313493137043519,0.6343736537657954,1.3617128043983193,7,,
0.0,6,9,ESPRIT-centered fan,0.032072431216552746,0.01767482113514045,109170.05157919608,9,5.088887490341627e-14,39.40836794935407
0.0,6,9,equispaced,0.6146531065161804,0.5179078630772198,2.1056138346365523,9,,
0.0,6,13,ESPRIT-centered fan,0.007201346194854225,0.0033512246489402,555330498.777337,13,5.088887490341627e-14,47.72147903956925
0.0,6,13,equispaced,0.36712499722954495,0.09095515220535494,2.277983180040369,13,,
0.0,6,17,ESPRIT-centered fan,0.001776197419412188,0.0007485796816724153,252052656834.7723,16,5.088887490341627e-14,51.659249267731205
0.0,6,17,equispaced,0.11878784525642505,0.007140785816791545,4.035797584445696,17,,
0.0,6,21,ESPRIT-centered fan,0.00047904954548437945,0.0001873922999658189,786683766964.2098,17,5.088887490341627e-14,52.240084835546035
0.0,6,21,equispaced,0.025213870980616598,0.0009928339085031285,86.27377086437994,21,,
0.0,7,1,ESPRIT-centered fan,0.6885589390491341,0.5710845018092282,1.0,1,5.088887490341627e-14,0.0
0.0,7,1,equispaced,0.6885589390492097,0.5710845018092396,1.0,1,,
0.0,7,3,ESPRIT-centered fan,0.333416265848433,0.2042632547753796,3.2256025985137873,3,5.088887490341627e-14,16.765766157812447
0.0,7,3,equispaced,0.687306664716939,0.572472760473849,1.0108711119532559,3,,
0.0,7,5,ESPRIT-centered fan,0.1521685258168048,0.09284621899913147,71.0039710701791,5,5.088887490341627e-14,26.300743140780913
0.0,7,5,equispaced,0.6780639449526872,0.5965347431484136,1.2867560017150939,5,,
0.0,7,7,ESPRIT-centered fan,0.0695287423382998,0.04164410981030803,2516.455829364711,7,5.088887490341627e-14,33.46950299117198
0.0,7,7,equispaced,0.6313493137054426,0.6343736537662621,1.361712804398321,7,,
0.0,7,9,ESPRIT-centered fan,0.03207243121655306,0.017674820801237664,109169.84360100336,9,5.088887490341627e-14,39.40837258568597
0.0,7,9,equispaced,0.6146531065161809,0.5179078630772207,2.105613834636554,9,,
